NPhone_Decay	WtoW_Weight	Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0.15	-0.001	0	0.14	48.5	0.04716981132075472
0.15	-0.001	0	0.15	40.5	0.03773584905660377
0.15	-0.001	1	0	37.11904761904762	0.9905660377358491
0.15	-0.001	1	0.01	37.942583732057415	0.9858490566037735
0.15	-0.001	1	0.02	39.907766990291265	0.9716981132075472
0.15	-0.001	1	0.03	43.16931216931217	0.8915094339622641
0.15	-0.001	1	0.04	47.182857142857145	0.8254716981132075
0.15	-0.001	1	0.05	51.42483660130719	0.7216981132075472
0.15	-0.001	1	0.06	54.04	0.589622641509434
0.15	-0.001	1	0.07	58.88775510204081	0.46226415094339623
0.15	-0.001	1	0.08	58.806451612903224	0.29245283018867924
0.15	-0.001	1	0.09	59.475	0.18867924528301888
0.15	-0.001	1	0.1	55.96	0.1179245283018868
0.15	-0.001	1	0.11	50.94444444444444	0.08490566037735849
0.15	-0.001	1	0.12	48.84615384615385	0.06132075471698113
0.15	-0.001	1	0.13	53.583333333333336	0.05660377358490566
0.15	-0.001	1	0.14	43.888888888888886	0.04245283018867924
0.15	-0.001	1	0.15	46.9	0.04716981132075472
0.15	-0.001	2	0	37.11904761904762	0.9905660377358491
0.15	-0.001	2	0.01	37.80861244019139	0.9858490566037735
0.15	-0.001	2	0.02	40.12135922330097	0.9716981132075472
0.15	-0.001	2	0.03	42.888888888888886	0.8915094339622641
0.15	-0.001	2	0.04	47.4367816091954	0.8207547169811321
0.15	-0.001	2	0.05	51.602649006622514	0.7122641509433962
0.15	-0.001	2	0.06	53.2520325203252	0.5801886792452831
0.15	-0.001	2	0.07	56.63333333333333	0.42452830188679247
0.15	-0.001	2	0.08	59.5	0.2830188679245283
0.15	-0.001	2	0.09	56.75	0.18867924528301888
0.15	-0.001	2	0.1	56.0	0.11320754716981132
0.15	-0.001	2	0.11	55.8	0.09433962264150944
0.15	-0.001	2	0.12	55.42857142857143	0.0660377358490566
0.15	-0.001	2	0.13	56.5	0.05660377358490566
0.15	-0.001	2	0.14	40.22222222222222	0.04245283018867924
0.15	-0.001	2	0.15	50.4	0.04716981132075472
0.15	-0.001	3	0	37.11904761904762	0.9905660377358491
0.15	-0.001	3	0.01	37.942583732057415	0.9858490566037735
0.15	-0.001	3	0.02	39.90291262135922	0.9716981132075472
0.15	-0.001	3	0.03	43.32804232804233	0.8915094339622641
0.15	-0.001	3	0.04	47.08	0.8254716981132075
0.15	-0.001	3	0.05	50.738255033557046	0.7028301886792453
0.15	-0.001	3	0.06	53.596774193548384	0.5849056603773585
0.15	-0.001	3	0.07	59.48936170212766	0.44339622641509435
0.15	-0.001	3	0.08	56.779661016949156	0.2783018867924528
0.15	-0.001	3	0.09	55.32432432432432	0.17452830188679244
0.15	-0.001	3	0.1	54.84	0.1179245283018868
0.15	-0.001	3	0.11	53.4375	0.07547169811320754
0.15	-0.001	3	0.12	48.0	0.06132075471698113
0.15	-0.001	3	0.13	46.666666666666664	0.05660377358490566
0.15	-0.001	3	0.14	54.54545454545455	0.05188679245283019
0.15	-0.001	3	0.15	47.25	0.03773584905660377
0.15	-0.001	4	0	37.11904761904762	0.9905660377358491
0.15	-0.001	4	0.01	38.34928229665072	0.9858490566037735
0.15	-0.001	4	0.02	40.29468599033817	0.9764150943396226
0.15	-0.001	4	0.03	43.3968253968254	0.8915094339622641
0.15	-0.001	4	0.04	46.68208092485549	0.8160377358490566
0.15	-0.001	4	0.05	51.54838709677419	0.7311320754716981
0.15	-0.001	4	0.06	54.73170731707317	0.5801886792452831
0.15	-0.001	4	0.07	58.344086021505376	0.4386792452830189
