Feedback_Excitation	Feedback_Inhibition	Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0.0	-0.14	69	0.4959247	0.0	0.0	0.49856585	6.3532134e-05	3.0943258e-05	4.2660984e-05	8.7138134e-05
0.0	-0.14	70	0.49568516	0.0	0.0	0.4986419	5.399732e-05	2.5459998e-05	3.5396464e-05	7.5816475e-05
0.0	-0.14	71	0.49543902	0.0	0.0	0.49871397	4.5900015e-05	2.0931597e-05	2.9349658e-05	6.599455e-05
0.0	-0.14	72	0.4951868	0.0	0.0	0.49878228	3.9023013e-05	1.7195121e-05	2.4320203e-05	5.74699e-05
0.0	-0.14	73	0.49492893	0.0	0.0	0.49884695	3.3181885e-05	1.4114777e-05	2.013998e-05	5.006788e-05
0.0	-0.14	74	0.49466586	0.0	0.0	0.49890825	2.822004e-05	1.1577501e-05	1.6668062e-05	4.363778e-05
0.0	-0.14	75	0.49439797	0.0	0.0	0.49896628	2.4004516e-05	9.489261e-06	1.3786415e-05	3.8049504e-05
0.0	-0.14	76	0.4941257	0.0	0.0	0.49902126	2.0422525e-05	7.771979e-06	1.1396282e-05	3.319068e-05
0.0	-0.14	77	0.49384946	0.0	0.0	0.49907333	1.73784e-05	6.360884e-06	9.4151255e-06	2.8964238e-05
0.0	-0.14	78	0.49356955	0.0	0.0	0.49912262	1.4790843e-05	5.202296e-06	7.774017e-06	2.528626e-05
0.0	-0.14	79	0.49328637	0.0	0.0	0.49916932	1.2590937e-05	4.251771e-06	6.415443e-06	2.2084185e-05
0.0	-0.14	80	0.49300027	0.0	0.0	0.49921352	1.0720251e-05	3.4725422e-06	5.2914525e-06	1.9295236e-05
0.0	-0.14	81	0.49271157	0.0	0.0	0.4992554	9.129177e-06	2.8342238e-06	4.362098e-06	1.6865077e-05
0.0	-0.14	82	0.4924206	0.0	0.0	0.49929506	7.775612e-06	2.3117243e-06	3.5941257e-06	1.4746656e-05
0.0	-0.14	83	0.4921277	0.0	0.0	0.49933258	6.623862e-06	1.8843435e-06	2.9598757e-06	1.2899214e-05
0.0	-0.14	84	0.4918331	0.0	0.0	0.49936816	5.6436475e-06	1.5350176e-06	2.4363574e-06	1.1287423e-05
0.0	-0.14	85	0.49153712	0.0	0.0	0.4994018	4.809269e-06	1.2496929e-06	2.0044743e-06	9.88065e-06
0.0	-0.14	86	0.49124008	0.0	0.0	0.4994337	4.098906e-06	1.0168044e-06	1.6483776e-06	8.652324e-06
0.0	-0.14	87	0.49094218	0.0	0.0	0.4994639	3.494027e-06	8.268435e-07	1.3549217e-06	7.579382e-06
0.0	-0.14	88	0.4906437	0.0	0.0	0.49949244	2.9788844e-06	6.7199903e-07	1.1132106e-06	6.6418e-06
0.0	-0.14	89	0.4903449	0.0	0.0	0.4995195	2.5400964e-06	5.458595e-07	9.1421947e-07	5.8221854e-06
0.0	-0.14	90	0.49004602	0.0	0.0	0.4995451	2.1662877e-06	4.4316695e-07	7.5047774e-07	5.105423e-06
0.0	-0.14	91	0.48974723	0.0	0.0	0.49956936	1.8477795e-06	3.5961293e-07	6.158052e-07	4.478371e-06
