TARGET	LEX	AWP	AGSD	LUCEK	ACT	AccType	Acc	RT	RTlength	Length	UP	RTup	TARGET	COH	NB	RHY1	RHY2	EMBED	xEMBED	COHshort	COHlong	COHeq	DEL	ADD	SUB
blxd	slex	0.3	0	20	Activation	Peak	1	92	29	4	3	6	blxd	3	1	2	4	2	1	1	0	2	0	0	1
blxd	slex	0.3	0	20	Activation	Max	1	28	29	4	3	6	blxd	3	1	2	4	2	1	1	0	2	0	0	1
blxd	slex	0.3	0	20	Activation	Abz	1	40	29	4	3	6	blxd	3	1	2	4	2	1	1	0	2	0	0	1
blxd	slex	0.3	0	20	Activation	Diff	1	33	29	4	3	6	blxd	3	1	2	4	2	1	1	0	2	0	0	1
blxd	slex	0.3	0	20	Activation	CDiff	1	52	29	4	3	6	blxd	3	1	2	4	2	1	1	0	2	0	0	1
blxd	slex	0.3	0	20	Probability	Peak	1	93	29	4	3	6	blxd	3	1	2	4	2	1	1	0	2	0	0	1
blxd	slex	0.3	0	20	Probability	Max	1	28	29	4	3	6	blxd	3	1	2	4	2	1	1	0	2	0	0	1
blxd	slex	0.3	0	20	Probability	Abz	1	40	29	4	3	6	blxd	3	1	2	4	2	1	1	0	2	0	0	1
blxd	slex	0.3	0	20	Probability	Diff	1	34	29	4	3	6	blxd	3	1	2	4	2	1	1	0	2	0	0	1
blxd	slex	0.3	0	20	Probability	CDiff	1	41	29	4	3	6	blxd	3	1	2	4	2	1	1	0	2	0	0	1
brid	slex	0.3	0	20	Activation	Peak	1	100	29	4	3	6	brid	3	3	2	8	2	1	0	0	3	1	0	2
brid	slex	0.3	0	20	Activation	Max	1	26	29	4	3	6	brid	3	3	2	8	2	1	0	0	3	1	0	2
brid	slex	0.3	0	20	Activation	Abz	1	41	29	4	3	6	brid	3	3	2	8	2	1	0	0	3	1	0	2
brid	slex	0.3	0	20	Activation	Diff	1	34	29	4	3	6	brid	3	3	2	8	2	1	0	0	3	1	0	2
brid	slex	0.3	0	20	Activation	CDiff	1	60	29	4	3	6	brid	3	3	2	8	2	1	0	0	3	1	0	2
brid	slex	0.3	0	20	Probability	Peak	1	100	29	4	3	6	brid	3	3	2	8	2	1	0	0	3	1	0	2
brid	slex	0.3	0	20	Probability	Max	1	26	29	4	3	6	brid	3	3	2	8	2	1	0	0	3	1	0	2
brid	slex	0.3	0	20	Probability	Abz	1	41	29	4	3	6	brid	3	3	2	8	2	1	0	0	3	1	0	2
brid	slex	0.3	0	20	Probability	Diff	1	34	29	4	3	6	brid	3	3	2	8	2	1	0	0	3	1	0	2
brid	slex	0.3	0	20	Probability	CDiff	1	43	29	4	3	6	brid	3	3	2	8	2	1	0	0	3	1	0	2
brud	slex	0.3	0	20	Activation	Peak	1	100	29	4	3	6	brud	3	2	1	1	1	1	0	0	3	0	0	2
